train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
744789,25.80212013,9,45290,348,0.22649875283241272,228.73580932617188,0.18617138266563416,135.92,345.556396484375,0.0003,4976
745660,17.980186440000004,9,46161,352,0.23411190509796143,177.33338928222656,-0.38291969895362854,138.72,584.6913452148438,0.0003,5068
746700,29.65890377,9,47201,356,0.2362758368253708,159.080810546875,0.11270006746053696,142.77,478.809326171875,0.0003,5178
747897,-5.911659199999999,9,48398,360,0.2319086641073227,193.37759399414062,0.23932185769081116,148.73,348.093017578125,0.0003,5302
748409,13.52184019000001,9,48910,364,0.22144976258277893,214.94467163085938,-0.3020699918270111,147.12,308.7498779296875,0.0003,5359
749045,44.48821557000001,9,49546,368,0.22057007253170013,224.91543579101562,-0.14089888334274292,147.63,259.0506286621094,0.0003,5427
750099,30.097510070000002,9,50600,372,0.21240246295928955,204.22108459472656,-0.18250775337219238,152.92,442.22296142578125,0.0003,5538
750916,3.1203461999999957,9,51417,376,0.20861013233661652,181.85546875,-0.07198145985603333,155.78,494.4708557128906,0.0003,5625
752389,-3.076117120000007,9,52890,380,0.20094570517539978,206.37396240234375,-0.02919822931289673,165.28,253.99050903320312,0.0003,5777
753220,8.311183049999993,9,53721,384,0.20575103163719177,165.78402709960938,-0.06766770035028458,167.44,335.9710693359375,0.0003,5865
753701,31.278197570000007,9,54202,388,0.21032758057117462,194.2021484375,0.3577083945274353,166.63,333.74908447265625,0.0003,5918
754062,-25.2795579,9,54563,392,0.2134130299091339,226.3126983642578,-0.0852605551481247,167.24,473.6033935546875,0.0003,5960
754375,-6.4712812999999985,9,54876,396,0.21067407727241516,234.42481994628906,-0.06126923859119415,163.55,434.20086669921875,0.0003,5996
754902,11.820342240000004,9,55403,400,0.20486070215702057,199.39990234375,0.15915682911872864,161.85,273.01324462890625,0.0003,6054
755228,-4.336993769999989,9,55729,404,0.20363108813762665,213.7908935546875,-0.1916000097990036,160.59,423.5806579589844,0.0003,6092
755582,44.30112131,9,56083,408,0.20310112833976746,176.40460205078125,-0.07934217154979706,158.39,527.1722412109375,0.0003,6132
756090,45.583497849999986,9,56591,412,0.2053040862083435,201.4065399169922,0.300843209028244,158.9,388.900390625,0.0003,6188
