train/n_updates,train/learning_rate,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
649554,0.0003,249955,-329.86895751953125,0.1735677868127823,2308,8,28001,106.84,1320.6236572265625,873.6608646299999,0.38426142930984497
649994,0.0003,250395,-293.4028015136719,-0.14027559757232666,2312,8,28051,107.12,880.9479370117188,873.0645809499999,0.3793866038322449
650409,0.0003,250810,-326.04437255859375,-0.28385892510414124,2316,8,28097,108.38,806.8511962890625,872.0233790700003,0.3763718903064728
650755,0.0003,251156,-318.5384521484375,0.24575194716453552,2320,8,28137,107.76,646.1990966796875,872.3074196800001,0.379520446062088
651173,0.0003,251574,-308.806396484375,-0.143771231174469,2324,8,28184,107.94,866.9444580078125,871.0066941299998,0.38022711873054504
651568,0.0003,251969,-274.6767883300781,-0.07084821164608002,2328,8,28229,108.39,1298.329833984375,869.90275872,0.38716793060302734
652012,0.0003,252413,-332.3094787597656,-0.23832400143146515,2332,8,28279,108.55,661.8526000976562,869.25762458,0.3762514293193817
652471,0.0003,252872,-306.33984375,-0.07416306436061859,2336,8,28330,108.73,657.3626708984375,868.15337514,0.37369436025619507
652913,0.0003,253314,-309.7243347167969,-0.18648943305015564,2340,8,28379,107.85,860.4996337890625,868.9675455299999,0.36508873105049133
653309,0.0003,253710,-322.75433349609375,-0.18429520726203918,2344,8,28424,107.51,708.0424194335938,869.24092622,0.37515339255332947
653751,0.0003,254152,-343.425048828125,0.4193322956562042,2348,8,28473,107.11,895.4718017578125,869.9665677600001,0.3698040843009949
654215,0.0003,254616,-318.15753173828125,-0.09295690804719925,2352,8,28525,107.92,586.2529907226562,868.69257004,0.3710945248603821
654623,0.0003,255024,-335.0953369140625,-0.3759477734565735,2356,8,28571,108.0,692.02978515625,869.8106893199999,0.3745628297328949
655050,0.0003,255451,-355.02154541015625,0.02110263705253601,2360,8,28619,107.8,838.9393310546875,869.9110123799999,0.3708699643611908
655427,0.0003,255828,-319.20147705078125,0.10922696441411972,2364,8,28662,107.14,1485.0257568359375,871.6093297000002,0.3759658634662628
655779,0.0003,256180,-324.5580139160156,0.08011861890554428,2368,8,28702,106.04,1337.42919921875,872.1502233199999,0.3786381483078003
656225,0.0003,256626,-303.9039001464844,0.16657303273677826,2372,8,28752,106.03,938.8283081054688,870.8213734299997,0.38774746656417847
656682,0.0003,257083,-352.15045166015625,0.10085546225309372,2376,8,28803,105.86,928.29052734375,871.5946081999999,0.3818235695362091
657092,0.0003,257493,-318.734375,-0.034423135221004486,2380,8,28850,105.68,840.685791015625,872.3066101499999,0.37415841221809387
