time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,0.05,812,14297,132735,-405.28489657,144.35,0.779578447341919,0.0001,183183
9,0.05,816,14341,133128,-416.33359115999997,135.24,0.7597143054008484,0.0001,183281
9,0.05,820,14429,133960,-487.18230431999996,140.2,0.6682684421539307,0.0001,183489
9,0.05,824,14492,134538,-485.32441943000003,140.56,0.5964951515197754,0.0001,183634
9,0.05,828,14555,135113,-453.51762936000006,142.27,0.6649275422096252,0.0001,183778
9,0.05,832,14636,135881,-424.22989677,144.39,0.9205570220947266,0.0001,183970
9,0.05,836,14675,136213,-388.83428566999993,144.97,0.7125714421272278,0.0001,184053
9,0.05,840,14738,136793,-403.40646702,145.74,0.46686750650405884,0.0001,184198
9,0.05,844,14791,137273,-403.00258869000004,143.84,0.9437655210494995,0.0001,184318
9,0.05,848,14830,137616,-381.33523737999997,142.53,0.6189267635345459,0.0001,184403
9,0.05,852,14893,138199,-390.80676431,140.5,13.446734428405762,0.0001,184549
9,0.05,856,14927,138486,-355.14020665000004,136.78,0.762131929397583,0.0001,184621
9,0.05,860,14989,139064,-375.58567327000003,137.96,0.7059252262115479,0.0001,184765
9,0.05,864,15047,139589,-375.8037807500001,137.65,0.47641077637672424,0.0001,184897
9,0.05,868,15137,140441,-377.3051865399999,141.66,0.3670782148838043,0.0001,185110
9,0.05,872,15231,141331,-355.4849917799999,143.32,0.8602017164230347,0.0001,185332
9,0.05,876,15323,142199,-394.33602009000003,146.22,0.6830265522003174,0.0001,185549
9,0.05,880,15411,143030,-405.58106937,151.22,0.5394336581230164,0.0001,185757
9,0.05,884,15458,143446,-360.54128923,147.44,0.5554870963096619,0.0001,185861
9,0.05,888,15531,144125,-324.56614288000003,147.52,0.6712498068809509,0.0001,186031
9,0.05,892,15596,144728,-302.55264812,146.85,14.793092727661133,0.0001,186181
9,0.05,896,15656,145278,-339.48710246,146.83,0.8451920747756958,0.0001,186319
9,0.05,900,15707,145741,-338.37441864,147.35,32.21852111816406,0.0001,186435
9,0.05,904,15779,146414,-343.14084415000013,150.43,13.140713691711426,0.0001,186603
9,0.05,908,15890,147474,-335.71703538,156.99,15.2697172164917,0.0001,186868
9,0.05,912,15945,147976,-308.74156653,152.41,0.5609769821166992,0.0001,186993
9,0.05,916,16030,148770,-302.32384243999996,156.42,33.02024459838867,0.0001,187192
9,0.05,920,16085,149273,-232.54944786000004,153.13,0.6010335087776184,0.0001,187318
9,0.05,924,16127,149645,-229.76815251999997,151.07,0.6046472787857056,0.0001,187411
9,0.05,928,16208,150403,-294.62372778,152.9,0.6419991254806519,0.0001,187600
9,0.05,932,16251,150780,-284.73387449000006,148.99,0.5813194513320923,0.0001,187694
9,0.05,936,16283,151045,-301.83848792000003,148.32,32.27093505859375,0.0001,187761
9,0.05,940,16330,151466,-300.28771444,146.73,0.5577417612075806,0.0001,187866
9,0.05,944,16371,151826,-299.25368245000004,145.53,0.3657519221305847,0.0001,187956
9,0.05,948,16451,152579,-311.13830463,149.63,0.6126919388771057,0.0001,188144
9,0.05,952,16510,153111,-302.76950157999994,149.12,15.418272972106934,0.0001,188277
9,0.05,956,16556,153525,-322.92457951999995,150.39,15.670140266418457,0.0001,188381
9,0.05,960,16584,153756,-294.36795504,146.92,0.5905135273933411,0.0001,188438
9,0.05,964,16682,154684,-282.04880814000006,150.95,0.5055246353149414,0.0001,188670
9,0.05,968,16748,155294,-280.41456300000004,148.53,0.8870105743408203,0.0001,188823
9,0.05,972,16807,155835,-257.18264085,145.04,0.606301486492157,0.0001,188958
9,0.05,976,16867,156379,-222.97356039999994,141.8,1.1461528539657593,0.0001,189094
9,0.05,980,16923,156899,-253.95137695999998,138.69,0.7944049835205078,0.0001,189224
9,0.05,984,16973,157341,-255.24885624999996,138.95,0.7155662775039673,0.0001,189335
9,0.05,988,17091,158475,-330.81676669,143.5,0.824743926525116,0.0001,189618
9,0.05,992,17125,158761,-322.81797064999995,140.33,1.114654541015625,0.0001,189690
9,0.05,996,17195,159417,-282.78792159999995,141.39,0.7500752806663513,0.0001,189854
9,0.05,1000,17256,159977,-290.53565580000003,142.36,0.42629605531692505,0.0001,189994
9,0.05,1004,17294,160300,-315.40194487,138.86,32.65690612792969,0.0001,190074
9,0.05,1008,17332,160629,-275.83264407999997,131.55,0.7763568162918091,0.0001,190157
9,0.05,1012,17389,161158,-233.95371112,131.82,0.62956702709198,0.0001,190289
9,0.05,1016,17473,161946,-276.8556393,131.76,0.598862886428833,0.0001,190486
9,0.05,1020,17533,162502,-328.37969137,132.29,0.846860945224762,0.0001,190625
9,0.05,1024,17635,163462,-355.5144704499999,138.17,1.3719019889831543,0.0001,190865
9,0.05,1028,17708,164151,-279.51653672,137.48,1.7481720447540283,0.0001,191037
9,0.05,1032,17752,164535,-278.06608382,137.55,0.7733861207962036,0.0001,191133
9,0.05,1036,17806,165022,-284.52410124,139.77,0.8176467418670654,0.0001,191255
9,0.05,1040,17873,165641,-301.84586615000006,141.75,0.532891571521759,0.0001,191410
9,0.05,1044,17914,166006,-281.71527168,141.8,0.6999756693840027,0.0001,191501
9,0.05,1048,17949,166299,-304.37902346000004,137.2,0.5615729093551636,0.0001,191574
9,0.05,1052,17984,166600,-252.08771301000002,134.89,0.7385048270225525,0.0001,191649
9,0.05,1056,18037,167087,-247.76984438000002,135.62,0.6497941613197327,0.0001,191771
9,0.05,1060,18114,167801,-225.83270440999996,140.45,0.642121434211731,0.0001,191950
9,0.05,1064,18187,168481,-255.43929672000002,137.97,1.0381640195846558,0.0001,192120
9,0.05,1068,18289,169446,-264.40643877,141.52,0.5317177772521973,0.0001,192361
9,0.05,1072,18331,169814,-276.58093110000004,139.79,22.501440048217773,0.0001,192453
9,0.05,1076,18409,170544,-306.86478034,141.65,12.937999725341797,0.0001,192635
9,0.05,1080,18454,170943,-248.84600947999996,140.44,14.519856452941895,0.0001,192735
9,0.05,1084,18497,171321,-248.74083816999996,139.8,0.7909581065177917,0.0001,192830
9,0.05,1088,18582,172119,-203.09233748,136.44,0.6284199953079224,0.0001,193029
9,0.05,1092,18726,173516,-212.48733591999994,147.55,1.056399941444397,0.0001,193378
9,0.05,1096,18762,173820,-195.15917116999998,144.03,10.606305122375488,0.0001,193454
9,0.05,1100,18801,174163,-187.81538894999997,141.86,0.7229331731796265,0.0001,193540
9,0.05,1104,18852,174619,-192.53832333999998,143.19,0.44808515906333923,0.0001,193654
9,0.05,1108,18927,175321,-221.26746697,146.92,0.6027709245681763,0.0001,193830
9,0.05,1112,19029,176295,-254.79789315999997,151.37,0.7689245939254761,0.0001,194073
9,0.05,1116,19068,176635,-234.36222246,146.89,0.568832516670227,0.0001,194158
9,0.05,1120,19115,177052,-179.15533034000003,145.5,0.42995768785476685,0.0001,194262
9,0.05,1124,19199,177838,-167.14062861,143.76,0.809293270111084,0.0001,194459
9,0.05,1128,19243,178228,-210.79938656,140.77,0.8445303440093994,0.0001,194556
9,0.05,1132,19281,178562,-242.03870812000002,140.27,0.6818654537200928,0.0001,194640
9,0.05,1136,19343,179128,-234.45939252999997,141.06,0.6122332811355591,0.0001,194781
9,0.05,1140,19402,179668,-218.62876196999997,140.27,0.7153277397155762,0.0001,194916
9,0.05,1144,19437,179970,-185.73205264999996,139.64,26.629165649414062,0.0001,194992
9,0.05,1148,19500,180546,-196.98072213000003,142.47,0.6483004689216614,0.0001,195136
9,0.05,1152,19545,180952,-265.54358736,143.52,0.984535276889801,0.0001,195237
9,0.05,1156,19602,181469,-235.09941114,143.82,0.7691109776496887,0.0001,195367
9,0.05,1160,19663,182024,-245.39408165999998,142.23,1.07914137840271,0.0001,195505
9,0.05,1164,19706,182410,-239.71479809000002,139.29,0.7825397849082947,0.0001,195602
9,0.05,1168,19779,183090,-247.01432359000006,136.44,14.976052284240723,0.0001,195772
9,0.05,1172,19848,183732,-251.61810125,139.18,0.6960645914077759,0.0001,195932
9,0.05,1176,19887,184072,-231.05140584,135.28,0.8083341121673584,0.0001,196017
9,0.05,1180,19922,184365,-229.20871673000002,134.22,12.52482795715332,0.0001,196091
9,0.05,1184,19990,184997,-252.69271259,136.76,1.198185920715332,0.0001,196249
9,0.05,1188,20064,185686,-218.73467705,135.67,1.8064651489257812,0.0001,196421
9,0.05,1192,20106,186059,-215.73393106999995,125.43,1.2417705059051514,0.0001,196514
9,0.05,1196,20175,186698,-246.60471044999997,128.78,0.7411254644393921,0.0001,196674
9,0.05,1200,20222,187120,-261.35189232000005,129.57,0.643953800201416,0.0001,196779
9,0.05,1204,20279,187641,-228.58731206999997,130.22,0.4557972550392151,0.0001,196910
9,0.05,1208,20388,188676,-190.74395475999998,133.55,0.9878124594688416,0.0001,197168
9,0.05,1212,20431,189060,-195.88997641999998,127.65,0.7772163152694702,0.0001,197264
9,0.05,1216,20526,189957,-169.63678947000005,133.22,0.795669674873352,0.0001,197489
9,0.05,1220,20601,190657,-211.28976832999996,136.05,12.66500473022461,0.0001,197664
9,0.05,1224,20669,191294,-181.12557516999996,134.56,0.9244235754013062,0.0001,197823
9,0.05,1228,20735,191906,-169.08603567999998,136.78,14.914094924926758,0.0001,197976
9,0.05,1232,20799,192486,-108.65539540000002,139.24,1.5067999362945557,0.0001,198121
9,0.05,1236,20888,193337,-85.90140398000001,142.09,1.052545428276062,0.0001,198334
9,0.05,1240,20936,193759,-118.99483748000004,140.91,0.662144124507904,0.0001,198439
9,0.05,1244,21017,194518,-162.74402469000003,145.48,0.954066276550293,0.0001,198629
9,0.05,1248,21069,194991,-151.30970508000001,144.45,0.8560929894447327,0.0001,198747
9,0.05,1252,21106,195315,-118.14648145999999,143.63,1.0446882247924805,0.0001,198828
9,0.05,1256,21156,195760,-114.13276490999999,142.91,0.5973066091537476,0.0001,198939
9,0.05,1260,21305,197197,-156.55119555,151.73,0.9026587009429932,0.0001,199299
9,0.05,1264,21349,197595,-171.96574596000002,151.85,0.7227358222007751,0.0001,199398
9,0.05,1268,21383,197878,-134.81707588999998,147.88,0.8630809783935547,0.0001,199469
9,0.05,1272,21423,198234,-127.33804453,145.02,32.0409049987793,0.0001,199558
9,0.05,1276,21480,198747,-110.03417141,146.75,1.1913845539093018,0.0001,199686
9,0.05,1280,21526,199161,-133.47416372,147.96,0.9235492944717407,0.0001,199790
9,0.05,1284,21561,199465,-121.77385107999999,144.68,0.5664492845535278,0.0001,199866
9,0.05,1288,21601,199810,-154.39159938999998,141.24,0.8006733655929565,0.0001,199952
