time/time_elapsed,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
18521,-37.6321907043457,0.17848744988441467,278.26654052734375,349.24838645999995,972699,9,948,0.0003,180.27,173000,0.6587661504745483
18594,-32.229801177978516,0.1816767156124115,281.3882751464844,342.62463,973374,9,952,0.0003,183.37,173675,0.0402531661093235
18678,-22.231124877929688,0.17909635603427887,231.6285858154297,353.48561575,974163,9,956,0.0003,184.57,174464,-0.08087940514087677
18772,-3.2307801246643066,0.17696444690227509,193.72265625,359.64849819999995,975059,9,960,0.0003,183.18,175360,-0.07167590409517288
18852,-44.53524398803711,0.1761460304260254,360.1547546386719,355.73054617,975806,9,964,0.0003,183.95,176107,-0.10450895130634308
18916,-60.38746643066406,0.17474228143692017,379.926025390625,350.95072066999995,976394,9,968,0.0003,181.51,176695,0.17972587049007416
19015,-11.606822967529297,0.17390532791614532,375.1468811035156,356.11639797,977329,9,972,0.0003,184.78,177630,0.32123762369155884
19103,23.526323318481445,0.17785999178886414,303.27044677734375,356.42956983,978159,9,976,0.0003,185.25,178460,0.0788993313908577
19182,8.645129203796387,0.18006165325641632,172.15206909179688,355.80144462000004,978904,9,980,0.0003,184.82,179205,-0.06812436133623123
19286,-24.413795471191406,0.18175576627254486,270.7272033691406,365.98948730000006,979887,9,984,0.0003,187.57,180188,-0.13178220391273499
19405,-74.1911392211914,0.17869828641414642,314.5016174316406,369.30068538,981027,9,988,0.0003,190.19,181328,0.25527679920196533
19470,4.584977149963379,0.17513887584209442,282.3547058105469,392.96966827000006,981630,9,992,0.0003,183.87,181931,0.23674483597278595
19542,-6.822807788848877,0.18184329569339752,221.23605346679688,384.9065095,982298,9,996,0.0003,181.1,182599,-0.5347476005554199
19617,-8.780445098876953,0.17498676478862762,242.2696533203125,388.99930924,982995,9,1000,0.0003,179.77,183296,-0.14766184985637665
19647,-15.394022941589355,0.17926199734210968,344.1647033691406,413.37101279,983242,9,1004,0.0003,176.75,183543,0.046332210302352905
19746,44.73731994628906,0.17835384607315063,221.24850463867188,385.73992497,984178,9,1008,0.0003,180.81,184479,-0.1840093433856964
19813,-17.15423011779785,0.1768844872713089,214.941162109375,385.79103953000015,984796,9,1012,0.0003,180.13,185097,0.006691053509712219
19874,-32.104122161865234,0.17923606932163239,234.57315063476562,360.30459780000007,985355,9,1016,0.0003,177.28,185656,0.40497177839279175
19980,-56.191802978515625,0.18356652557849884,199.63003540039062,305.52932762000006,986358,9,1020,0.0003,184.5,186659,0.7442163825035095
20095,-8.814606666564941,0.18597862124443054,282.026611328125,307.56382441000005,987456,9,1024,0.0003,185.7,187757,0.7644550800323486
20159,-68.82415771484375,0.18548674881458282,331.7524719238281,298.43842217,988050,9,1028,0.0003,187.95,188351,0.42971915006637573
20256,-16.543216705322266,0.18256333470344543,290.9346923828125,273.25079428000004,988967,9,1032,0.0003,189.57,189268,-0.09174995124340057
20318,-19.183073043823242,0.1782541424036026,159.78848266601562,291.69386642,989533,9,1036,0.0003,184.27,189834,-0.2860494554042816
20368,-42.05998992919922,0.17972637712955475,449.0433044433594,261.14038242999993,989981,9,1040,0.0003,182.75,190282,0.8652438521385193
20443,-17.538394927978516,0.17802269756793976,297.4666748046875,234.63110211,990677,9,1044,0.0003,185.45,190978,0.3544710874557495
